taxon_key,taxon_label,connected_domains,relationship_count,n_climate,n_conservation,n_literature,n_media,n_mycorrhiza,n_occurrences,n_pollinators,n_traits
taxon:1,Gastrochilus calceolaris,conservation|media|occurrences,6,0,1,0,4,0,1,0,0
taxon:2,Gastrochilus changjiangensis,conservation|media|occurrences,3,0,1,0,1,0,1,0,0
taxon:3,Gastrochilus ciliaris,media|occurrences,2,0,0,0,1,0,1,0,0
taxon:4,Gastrochilus dasypogon,media|occurrences,2,0,0,0,1,0,1,0,0
taxon:5,Gastrochilus deminutus,media|occurrences,6,0,0,0,4,0,2,0,0
taxon:7,Gastrochilus dressleri,media|occurrences,4,0,0,0,3,0,1,0,0
taxon:8,Gastrochilus dulongjiangensis,media|occurrences,2,0,0,0,1,0,1,0,0
taxon:9,Gastrochilus pseudocalceolaris,media|occurrences,8,0,0,0,5,0,3,0,0
taxon:10,Gastrochilus fargesii,media|occurrences,4,0,0,0,3,0,1,0,0
taxon:11,Gastrochilus flabelliformis,media|occurrences,3,0,0,0,2,0,1,0,0
taxon:12,Gastrochilus formosanus,media|occurrences,14,0,0,0,10,0,4,0,0
taxon:14,Gastrochilus gongshanensis,media|occurrences,2,0,0,0,1,0,1,0,0
taxon:16,Gastrochilus hainanensis,media|occurrences,4,0,0,0,3,0,1,0,0
taxon:17,Gastrochilus inconspicuus,media|occurrences,2,0,0,0,1,0,1,0,0
taxon:18,Gastrochilus intermedius,media|occurrences,4,0,0,0,3,0,1,0,0
taxon:20,Gastrochilus kadooriei,media|occurrences,3,0,0,0,2,0,1,0,0
taxon:21,Gastrochilus labrosus,media|occurrences,2,0,0,0,1,0,1,0,0
taxon:22,Gastrochilus lihengiae,media|occurrences,4,0,0,0,3,0,1,0,0
taxon:23,Gastrochilus linearifolius,media|occurrences,2,0,0,0,1,0,1,0,0
taxon:24,Gastrochilus linzhiensis,media|occurrences,2,0,0,0,1,0,1,0,0
taxon:303,Phalaenopsis aphrodite,mycorrhiza,4,0,0,0,0,4,0,0,0
taxon:304,Phalaenopsis aphrodite,mycorrhiza,4,0,0,0,0,4,0,0,0
taxon:698,Vanda x gardinerae,climate,1,1,0,0,0,0,0,0,0
taxon:525,Macropodanthus berkeleyi,climate,1,1,0,0,0,0,0,0,0
taxon:517,Brachypeza pallida,climate,1,1,0,0,0,0,0,0,0
taxon:520,Brachypeza unguiculata,climate,1,1,0,0,0,0,0,0,0
taxon:521,Brachypeza uniflora,climate,1,1,0,0,0,0,0,0,0
taxon:522,Brachypeza zamboangensis,climate,1,1,0,0,0,0,0,0,0
taxon:523,Saccolabiopsis microphyton,climate,1,1,0,0,0,0,0,0,0
taxon:524,Macropodanthus alatus,climate,1,1,0,0,0,0,0,0,0
taxon:526,Macropodanthus brevidentatus,climate,1,1,0,0,0,0,0,0,0
taxon:527,Macropodanthus clausus,climate,1,1,0,0,0,0,0,0,0
