canonical_id,canonical_name,scientific_name,authorship,rank,status,is_hybrid,accepted_canonical_id,authority_mappings_count,authorities
1,Elleanthus tandapianus,Elleanthus tandapianus Dodson,Dodson,species,accepted,False,,1,GBIF
2,Tridactyle translucens,Tridactyle translucens Summerh.,Summerh.,species,accepted,False,,2,GBIF
3,Tipularia odorata,Tipularia odorata Fukuy.,Fukuy.,species,accepted,False,,1,GBIF
4,Lepanthes vulpina,Lepanthes vulpina Luer & Sijm,Luer & Sijm,species,accepted,False,,1,GBIF
5,Satyrium compactum,Satyrium compactum Summerh.,Summerh.,species,accepted,False,,1,GBIF
6,Benthamia mamilyae,Benthamia mamilyae L. Rapp & Hermans,L. Rapp & Hermans,species,accepted,False,,0,
7,Restrepia cloesii,Restrepia cloesii Luer,Luer,species,accepted,False,,2,GBIF
8,Brachionidium gonzalesiorum,Brachionidium gonzalesiorum Becerra,Becerra,species,accepted,False,,2,GBIF
9,Peristylus hylophiloides,Peristylus hylophiloides Ormerod,Ormerod,species,accepted,False,,1,GBIF
10,Habenaria elatius,Habenaria elatius Ridl.,Ridl.,species,accepted,False,,2,GBIF
11,Dresslerella caesariata,Dresslerella caesariata Luer,Luer,species,accepted,False,,2,GBIF
12,Habenaria horsfieldiana,Habenaria horsfieldiana Kraenzl.,Kraenzl.,species,accepted,False,,2,GBIF
13,Habenaria adamantina,Habenaria adamantina Cruz-Lustre & J. A. N. Bat.,Cruz-Lustre & J. A. N. Bat.,species,accepted,False,,0,
14,Habenaria crocodilium,Habenaria crocodilium Hermans,Hermans,species,accepted,False,,1,GBIF
15,Lepanthes corkyae,Lepanthes corkyae Luer & Hirtz,Luer & Hirtz,species,accepted,False,,1,GBIF
16,Habenaria salaccensis,Habenaria salaccensis Blume,Blume,species,accepted,False,,2,GBIF
17,Habenaria poilanei,Habenaria poilanei Gagnep.,Gagnep.,species,accepted,False,,2,GBIF
18,Habenaria cruciata,Habenaria cruciata J. J. Sm.,J. J. Sm.,species,accepted,False,,2,GBIF
19,Habenaria vandenbergheniana,Habenaria vandenbergheniana Geerinck,Geerinck,species,accepted,False,,2,GBIF
20,Habenaria vanoverberghii,Habenaria vanoverberghii Ames,Ames,species,accepted,False,,2,GBIF
21,Habenaria adolphi,Habenaria adolphi Schltr.,Schltr.,species,accepted,False,,2,GBIF
22,Habenaria burttii,Habenaria burttii Summerh.,Summerh.,species,accepted,False,,2,GBIF
23,Habenaria busseana,Habenaria busseana Kraenzl.,Kraenzl.,species,accepted,False,,2,GBIF
24,Habenaria cadetiorum,Habenaria cadetiorum Pailler,Pailler,species,accepted,False,,1,GBIF
25,Habenaria calcicola,Habenaria calcicola Aver.,Aver.,species,accepted,False,,1,GBIF
